,state,year,quarter,registered_user
407,kerala,2023,Q4,12084974
408,ladakh,2018,Q1,8784
409,ladakh,2018,Q2,12918
410,ladakh,2018,Q3,17749
411,ladakh,2018,Q4,23883
412,ladakh,2019,Q1,29649
413,ladakh,2019,Q2,35516
414,ladakh,2019,Q3,39173
415,ladakh,2019,Q4,43108
416,ladakh,2020,Q1,47790
417,ladakh,2020,Q2,53034
418,ladakh,2020,Q3,58401
419,ladakh,2020,Q4,64853
420,ladakh,2021,Q1,69919
421,ladakh,2021,Q2,75048
422,ladakh,2021,Q3,81210
423,ladakh,2021,Q4,87057
424,ladakh,2022,Q1,92492
425,ladakh,2022,Q2,97517
426,ladakh,2022,Q3,102299
427,ladakh,2022,Q4,106337
428,ladakh,2023,Q1,110991
429,ladakh,2023,Q2,115736
430,ladakh,2023,Q3,120435
431,ladakh,2023,Q4,124828
432,lakshadweep,2018,Q1,501
433,lakshadweep,2018,Q2,686
434,lakshadweep,2018,Q3,918
435,lakshadweep,2018,Q4,1156
436,lakshadweep,2019,Q1,1416
437,lakshadweep,2019,Q2,1747
438,lakshadweep,2019,Q3,2117
439,lakshadweep,2019,Q4,2427
440,lakshadweep,2020,Q1,2772
441,lakshadweep,2020,Q2,3187
442,lakshadweep,2020,Q3,3644
443,lakshadweep,2020,Q4,4179
444,lakshadweep,2021,Q1,4577
445,lakshadweep,2021,Q2,4896
446,lakshadweep,2021,Q3,5287
447,lakshadweep,2021,Q4,5638
448,lakshadweep,2022,Q1,5990
449,lakshadweep,2022,Q2,6327
450,lakshadweep,2022,Q3,6645
451,lakshadweep,2022,Q4,6961
452,lakshadweep,2023,Q1,7267
453,lakshadweep,2023,Q2,7585
454,lakshadweep,2023,Q3,7912
455,lakshadweep,2023,Q4,8225
456,madhya-pradesh,2018,Q1,2553603
457,madhya-pradesh,2018,Q2,3441662
458,madhya-pradesh,2018,Q3,4309309
459,madhya-pradesh,2018,Q4,5365442
460,madhya-pradesh,2019,Q1,6414403
461,madhya-pradesh,2019,Q2,7301172
462,madhya-pradesh,2019,Q3,8180664
463,madhya-pradesh,2019,Q4,9165241
464,madhya-pradesh,2020,Q1,10151371
465,madhya-pradesh,2020,Q2,11374423
466,madhya-pradesh,2020,Q3,12564224
467,madhya-pradesh,2020,Q4,13737947
468,madhya-pradesh,2021,Q1,14839427
469,madhya-pradesh,2021,Q2,15940935
470,madhya-pradesh,2021,Q3,17210233
471,madhya-pradesh,2021,Q4,18456243
472,madhya-pradesh,2022,Q1,19656147
473,madhya-pradesh,2022,Q2,20766417
474,madhya-pradesh,2022,Q3,21884220
475,madhya-pradesh,2022,Q4,22913924
476,madhya-pradesh,2023,Q1,24002818
477,madhya-pradesh,2023,Q2,25042930
478,madhya-pradesh,2023,Q3,26109033
479,madhya-pradesh,2023,Q4,27078072
480,maharashtra,2018,Q1,6106994
481,maharashtra,2018,Q2,8222371
482,maharashtra,2018,Q3,10435033
483,maharashtra,2018,Q4,13381602
484,maharashtra,2019,Q1,16284451
485,maharashtra,2019,Q2,18776975
486,maharashtra,2019,Q3,21313081
487,maharashtra,2019,Q4,23745297
488,maharashtra,2020,Q1,26168390
489,maharashtra,2020,Q2,28765086
490,maharashtra,2020,Q3,31409513
491,maharashtra,2020,Q4,34432631
492,maharashtra,2021,Q1,37077537
493,maharashtra,2021,Q2,39664697
494,maharashtra,2021,Q3,42581217
495,maharashtra,2021,Q4,45482506
496,maharashtra,2022,Q1,48227630
497,maharashtra,2022,Q2,50802786
498,maharashtra,2022,Q3,53432602
499,maharashtra,2022,Q4,55954028
500,maharashtra,2023,Q1,58470784
501,maharashtra,2023,Q2,60766850
502,maharashtra,2023,Q3,63150997
503,maharashtra,2023,Q4,65422120
504,manipur,2018,Q1,29925
505,manipur,2018,Q2,46055
506,manipur,2018,Q3,61935
507,manipur,2018,Q4,82589
508,manipur,2019,Q1,99527
509,manipur,2019,Q2,117747
510,manipur,2019,Q3,136316
511,manipur,2019,Q4,155358
512,manipur,2020,Q1,177374
